date,weekday,timeofday,neighborhood,bus,avg_arrival_rate,scheduled_arrival,difference_arrival_rate
4/14/2016,Yes,Morning,oakland,61B,10,15,5
4/14/2016,Yes,Morning,oakland,61C,10,16,6
4/14/2016,Yes,Morning,oakland,61C,12,16,4
4/14/2016,Yes,Morning,oakland,61D,8.75,12,3.25
4/14/2016,Yes,Morning,oakland,61D,14.6,12,2.6
4/14/2016,Yes,Morning,oakland,28X,30,30,0
4/14/2016,Yes,Morning,oakland,69,4,12,8
4/13/2016,Yes,Afternoon,east_liberty,71B,39,15,24
4/13/2016,Yes,Afternoon,east_liberty,89,22,45,23
4/13/2016,Yes,Afternoon,east_liberty,75,10,20,10
4/13/2016,Yes,Afternoon,east_liberty,71A,19.5,15,4.5
4/13/2016,Yes,Afternoon,east_liberty,71A,14,15,1
4/13/2016,Yes,Afternoon,east_liberty,87,29,28.5,0.5
4/13/2016,Yes,Afternoon,east_liberty,87,24,28.5,4.5
4/13/2016,Yes,Afternoon,east_liberty,75,38,27.3,10.7
4/17/2016,No,Morning,downtown,48,42,20,22
4/16/2016,No,Afternoon,downtown,48,32,20,12
4/16/2016,No,Afternoon,downtown,51,10,15,5
4/16/2016,No,Afternoon,downtown,51,13.3,15,1.7
